,id,model_name,serial_number,site_name,address,latitude,longitude,energy_capacity,manufacture_date,installation_date,commission_date,warranty_date,contact_center_email,contact_center_name,contact_center_phone,facility_manager_email,facility_manager_phone,fgid,ownership,store_id,currency,shipping_date,has_door_sensors,alert_priority,customer_service,total_seccs,time_zone,tax_number
0,28,ChargeHub540-150J4,100028,PlugPower 10,,42.7246281,-78.0186102,180,,,,,,,,,,,PlugPower,,USD,,True,2,False,0,America/Toronto,
1,26,ChargeHub540-150J4,100026,PlugPower 8,,42.7246281,-78.0186102,180,,,,,,,,,,,PlugPower,,USD,,True,2,False,0,America/Toronto,
2,25,ChargeHub540-150J4,100025,PlugPower 7,,42.7246281,-78.0186102,180,,,,,,,,,,,PlugPower,,USD,,True,2,False,0,America/Toronto,
3,12,ESS-PP-262-1,100012,ESS-PP-262-1 SN: 000001,,42.72462844848633,-78.01880645751953,180,2022-08-31 11:59:46.548000+00:00,,,,,,,,,,PlugPower,,USD,,True,2,False,0,America/Toronto,
4,15,ESS-PP-350-2,100015,ESS-PP-350-2 SN: 000002,,42.72462844848633,-78.01870727539062,360,2022-11-30 12:00:24.629000+00:00,,,,,,,,,,PlugPower,,USD,,True,2,False,0,America/Toronto,
5,11,ESS-PP-666-3,100011,ESS-PP-666-3 SN: 000001,,42.724727630615234,-78.01880645751953,540,2022-09-30 11:58:59.817000+00:00,,,,,,,,,,PlugPower,,USD,,True,2,False,0,America/Toronto,
6,20,ChargeHub40-50J4,100020,RRC (Decommissioned),"1690 King Edward St, Winnipeg, MB, Canada",49.92270278930664,-97.36508178710938,40,,2019-09-20 13:06:10.934000+00:00,2019-09-20 13:06:10.934000+00:00,2019-09-20 13:06:10.934000+00:00,,,,,,,NRCAN,,CAD,,False,3,False,0,America/Toronto,
7,24,ChargeHub540-150J4,100024,PlugPower 6,,42.72462844848633,-78.01860809326172,180,,,,,,,,,,,PlugPower,,USD,,True,2,False,0,America/Toronto,
8,36,ChargeHub540-150J4,100036,PlugPower 13,,42.72462844848633,-78.01860809326172,180,,,,,,,,,,,PlugPower,,USD,,False,2,False,0,America/Toronto,
9,35,ChargeHub540-150J4,100035,PlugPower 12,,42.72462844848633,-78.01860809326172,180,,,,,,,,,,,PlugPower,,USD,,True,2,False,0,America/Toronto,
10,13,ESS-PP-350-2,100013,Nashville DTN8 - Unit 1 [ESS-PP-350-2 SN: 000003],"1000 Richard Petty Way, Lebanon, TN 37090, USA",36.03941345214844,-86.39588928222656,360,2022-10-31 12:00:04.516000+00:00,,,,,,,,,,PlugPower,,USD,,True,2,False,0,America/Toronto,
11,29,ChargeHub540-150J4,100029,PlugPower 11,,42.7246281,-78.0186102,180,,,,,,,,,,,PlugPower,,USD,,True,2,False,0,America/Toronto,
12,27,ChargeHub540-150J4,100027,PlugPower 9,,42.72462844848633,-78.01860809326172,180,,,,,,,,,,,PlugPower,,USD,,True,2,False,0,America/Toronto,
13,39,ChargeHub180-150J3,100039,Tridel,"840 Dupont St, Toronto, ON M6G 1Z8",43.670973,-79.428221,180,,,,,,,,,,,Jule,,CAD,,False,2,False,0,America/Toronto,
14,8,ChargeHub180-150J4,100008,Florida 2,"165 Spooner Rd, Quincy FL 32352",30.53691291809082,-84.59878540039062,180,2022-07-31 12:07:43.699000+00:00,2022-09-08 16:00:00+00:00,2022-10-18 16:00:00+00:00,,,,,,,,Jule,,USD,,True,3,True,0,America/Toronto,ST#: 78-8018912127-4
15,6,ChargeHub180-150J4,100006,Florida,"3860 Tollgate Blvd, Naples, FL 34114, USA",26.157989501953125,-81.68457794189453,180,2022-06-30 12:08:32.173000+00:00,2022-12-25 13:19:57.052000+00:00,2022-12-25 13:17:10.598000+00:00,2022-12-25 13:19:25.207000+00:00,xxx@mail.com,,1234567890,,,,Jule,,USD,,True,3,True,0,America/Toronto,ST#: 78-8018912127-4
16,23,ChargeHub180-150J2,100023,Mount Kisco,"40 Green Street, Mount Kisco, NY 10549 USA",41.20445251464844,-73.73199462890625,180,2023-05-18 16:00:00+00:00,2023-05-24 16:00:00+00:00,2023-12-06 16:00:00+00:00,,,,,,,,Jule,,USD,,False,3,True,0,America/New_York,ST#: 78-8018912127-4
17,33,ChargeHub180-50J4,100033,Ford Montgomery,"1119 Sutton St, Kincardine, ON N2Z 2C8",44.166439056396484,-81.63790130615234,180,2023-11-06 16:00:00+00:00,2023-11-21 16:00:00+00:00,2023-12-22 16:00:00+00:00,,,,,,,,Jule,,CAD,,False,3,True,0,America/Toronto,GST/HST: 103753406
18,40,ChargeHub180-150J3,100040,Phoenix Contact,"586 Fulling Mill Road, Middletown, PA 17057",40.2287814,-76.7504716,180,2024-01-22 17:00:00+00:00,,,,,,,,,,Jule,,USD,,True,2,False,0,America/New_York,
19,45,ChargeHub180-150J2,100045,BC2 Okanagan,"2690 BC-97, Kelowna, BC V1X 4J4",49.8947106,-119.4182691,220,,,,,,,,,,,,,CAD,,,2,False,0,America/Vancouver,
20,0,Local_Test_System 1,100000,Demo Unit,"450 Midwest Rd, Scarborough, ON M1P 3A9",43.7632279,-79.2756219,40,2019-07-05 04:00:00+00:00,2019-09-17 04:00:00+00:00,2019-09-17 04:00:00+00:00,2024-09-17 04:00:00+00:00,xxx@mail.com,eCamion,1234567890,,,,developer,,CAD,,False,2,False,0,America/Toronto,GST/HST: 808-652-820
21,9,ChargeHub540-150J4,100009,Meijer,"800 Brown Rd, Auburn Hills, MI 48326",42.70564270019531,-83.28936767578125,180,2022-10-04 16:00:00+00:00,2022-11-17 11:32:46.789000+00:00,2022-11-17 11:32:46.789000+00:00,2022-11-17 11:32:46.789000+00:00,,,,,,,Jule,,USD,,False,3,True,0,US/Michigan,GST/HST: 808-652-820
22,17,ChargeHub40-50J4,100017,Windy Lake,"Hwy 144 North, Levack, ON P0M 2C0",46.624820709228516,-81.45663452148438,120,,2020-07-12 13:05:13.596000+00:00,2020-07-12 13:05:13.596000+00:00,2020-07-12 13:05:13.596000+00:00,,,,,,,NRCAN,,CAD,,False,3,True,0,America/Toronto,GST/HST: 808-652-820
23,18,ChargeHub40-50J4,100018,Mattawa,"473 Valois Dr, Mattawa, ON P0H 1V0, Canada",46.31733703613281,-78.70235443115234,120,2024-03-01 19:28:13+00:00,2020-01-10 13:04:54+00:00,2020-01-10 13:04:54+00:00,2020-01-10 13:04:54+00:00,,,,"dmsubway@yahoo.ca
",647-891-4940,,NRCAN,,CAD,,False,3,True,0,America/Toronto,GST/HST: 808-652-820
24,19,ChargeHub40-50J4,100019,Temagami,"6722 ON-11, Temagami, ON P0H 2H0, Canada",47.06430435180664,-79.79298400878906,120,,2020-12-11 13:05:47.115000+00:00,2020-12-11 13:05:47.115000+00:00,2020-12-11 13:05:47.115000+00:00,,,,"temagamidailybread@gmail.com
","Cell:519-983-2712, Land Line:(705) 569-3600
",,NRCAN,,CAD,,False,3,True,0,America/Toronto,GST/HST: 808-652-820
25,21,ChargeHub180-150J4,100021,Florida 3,"380 Commercial Court, Venice, FL 34292, USA",27.108402252197266,-82.38752746582031,180,2023-01-13 16:00:00+00:00,2023-02-08 16:00:00+00:00,2023-03-28 16:00:00+00:00,,xxx@mail.com,,1234567890,,,,Jule,,USD,,True,3,True,0,America/Toronto,GST/HST: 808-652-820
26,22,ChargeHub180-150J2,100022,Florida 4,"55 Town Centre Blvd, Palm Coast, FL 32164",29.469999313354492,-81.19000244140625,180,2023-02-10 16:00:00+00:00,,2024-04-25 04:00:00+00:00,,,,,,,,Jule,,USD,,False,3,True,0,America/Toronto,GST/HST: 808-652-820
27,30,ChargeHub660-7J150,100030,Longos Oakville,"338 Dundas St E, Oakville, ON L6H 6Z9",43.48777389526367,-79.71736907958984,660,2023-09-08 16:00:00+00:00,2023-09-29 16:00:00+00:00,2023-12-01 16:00:00+00:00,2024-03-25 17:30:38+00:00,,,,,,,Jule,,CAD,,False,3,True,0,America/Toronto,GST/HST: 808-652-820
28,31,ChargeHub180-200J3,100031,Longos Woodbine,"3085 Hwy 7, Markham, ON L3R 0J5",43.848716735839844,-79.35453033447266,180,2023-11-09 16:00:00+00:00,2024-01-17 17:00:00+00:00,2024-01-23 17:00:00+00:00,2024-05-10 12:40:10+00:00,,,,,,,Jule,,CAD,,True,3,True,0,America/Toronto,GST/HST: 808-652-820
29,32,ChargeHub220-2J200,100032,Metro,"7835 McLeod Rd, Niagara Falls, ON L2H 0G5",43.07154083251953,-79.12674713134766,220,2023-10-31 16:00:00+00:00,2023-11-15 16:00:00+00:00,2023-11-30 16:00:00+00:00,,,,,,,,Jule,,CAD,,False,3,True,0,America/Toronto,GST/HST: 808-652-820
30,7,ChargeHub180-150J4,100007,Port Austin,"8861 Line Street, Port Austin, MI 48467",44.04489,-82.99478,180,2022-09-30 12:19:12.004000+00:00,2023-01-24 11:33:29.386000+00:00,2023-01-24 11:33:29.386000+00:00,2023-01-24 11:33:29.386000+00:00,,,,,,,Jule,,USD,,True,3,True,0,US/Michigan,GST/HST: 808-652-820
